Course_Name;University;Difficulty_Level;Course_Description;Skills;category_id
Introduction to Engineering Mechanics;Georgia Institute of Technology;Intermediate;This course is an introduction to learning and applying the principles required to solve engineering mechanics problems.   Concepts will be applied in this course from previous courses you have taken in basic math and physics.  The course addresses the modeling and analysis of static equilibrium problems with an emphasis on real world engineering applications and problem solving.  The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman.  By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course.  Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation.  Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.;Human Learning  Critical Thinking  physics  Civil Engineering  analysis  hydraulics  Mechanical Engineering  c dynamic memory allocation  Problem Solving  static analysis physical-science-and-engineering mechanical-engineering;2
Journey Conversations: Weaving Knowledge and Action;Yale University;Beginner;Journey of the Universe weaves together the discoveries of the evolutionary sciences together with humanities such as history, philosophy, art, and religion.  This course draws on the Journey of the Universe Conversations, a series of 20 interviews with scientists and environmentalists. The first 10 interviews are with scientists and historians who deepen our understanding of the evolutionary process of universe, Earth, and humans. The second 10 interviews are with environmentalists, teachers, and artists who explore the connections between the universe story and the practices for a flourishing Earth community.;Sustainable Energy  energy  astronomy  Solar Systems  awe  language  history  art  acceptance  verse protocol physical-science-and-engineering environmental-science-and-sustainability;0
Introduction to Front-end Development with ReactJS;Coursera Project Network;Beginner;In this 1-hour long project-based course, you will learn about React Basics & Theory, Initialization, React Router, Components, Hooks, State, and deployment with Netlify. You should know basic HTML & CSS before beginning this project. For development, your cloud desktop will come installed with Visual Studio Code.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;javascript framework  Javascript  project  html  React (web framework)  project networks  web  internet  Web Development  euler's totient function computer-science mobile-and-web-development;0
Key Success Factors in Supply Chain Finance;New York Institute of Finance;Advanced;Implement and manage a successful financing program for a corporate buying organization by learning about the key success factors in Supply Chain Finance. In this course, you'll learn about the challenges and bottlenecks in Supply Chain Finance and understand their impact on Supply Chain Finance programs. This course will help you understand who the ideal customer is for a Supply Chain Finance program and understand how revenue is generated and such programs are priced. You'll learn about the relevant factors for suppliers to come onboard and trade as well as identify the key roles and responsibilities involved in Supply Chain Finance.  Additionally, this course will explain how to develop metrics and list the necessary elements for developing an effective financing program. By the end of this course, youï¿½ll be able to perform a pre-sales analysis and a detailed supplier analysis, which are crucial for setting up a Supply Chain Finance program.;Marketing  analysis  corporate bond  presales  consumption (economics)  Procurement  trading  Sales  supply chain  pricing business finance;1
Procurement & Sourcing Introduction;Rutgers the State University of New Jersey;Beginner;After a warm Welcome to the Global Procurement and Sourcing Specialization, I will provide a brief introduction to the specialization  and its courses covering the following:  -Instructor Biography  -Who should take this course -Flow of the course  Following the introduction, the student will get the opportunity to learn about some of the current challenges facing procurement and sourcing professionals today through reading ten current articles ranging from what is procurement to how to collaborate with suppliers. These articles/knowledge will be a foundation for later courses on how to use tools, processes and improve skills to address many of these opportunities. There will be a brief assessment (true/false) of your knowledge gained from these articles.;sources  Contract Management  supply chain management  purchasing management  analytics  Procurement  Leadership and Management  purchasing  supply chain  customer service business leadership-and-management;0
Making Progress Teach-Out;Emory University;Beginner;What is ï¿½progressï¿½? How do we decide when weï¿½re moving forward and not taking steps backward? And how do we explore the idea of progress around public sites of memory? This Teach-Out is an invitation to think about what progress means, and how you can look for it wherever you areï¿½in your city, community, or neighborhoodï¿½and reflect upon your own ideas about the place you live in.  Changes in the built environment of our communities are themselves the result of human actions and intentions, such as municipal planning, commercial enterprises, or communities transforming their own space. In other words, in our cities we can see the results of our plansï¿½our attempts to create and shape the future. Neighbors, political groups, corporations, governments, schools, and other organizations, they all shape the community, leaving traces that allow us to see in what directions they transformed our lives.   This Teach-Out will ask the following questions: ï¿½\tWhat are the forces that shape and change the places we inhabit?  ï¿½\tHow do people connect with places in our modern cities?  ï¿½\tDo places progress?  ï¿½\tHow can we measure in them whether there is any ï¿½progressï¿½?   We will interview a number of people who work in Atlanta, Georgia, but the questions and places we will see here are comparable to many of other places in the world on what it means to progress. In this Teach-Out you will learn how to find the history of public spaces in any community and how to reflect upon the idea of progress. Finally, you can join a conversation to discuss what has been explored, uncovered, and possibly transformed both within ourselves and our communities.  A Teach-Out is:  ï¿½ an event ï¿½ it takes place over a fixed, short period of time  ï¿½ an opportunity ï¿½ it is open for free participation to everyone around the world  ï¿½ a community ï¿½ it will be joined by a large number of diverse individuals  ï¿½ a conversation ï¿½ an opportunity to give and take ideas and information from people   This community learning event invites participants from around the world to come together in conversation with the Emory campus community, including faculty experts. This Teach-Out is part of Emoryï¿½s commitment to engage the local and global community in exploring and understanding problems, events, and phenomena most important to our society.   Originating from University of Michigan (Teach-Out.org), Teach-Outs are short learning experiences focused on a specific current issue. Attendees will come together over a few days not only to learn about a subject or event but also to gain skills. Teach-Outs are open to the world and are designed to bring together individuals with wide-ranging perspectives in respectful and deep conversation. These events are an opportunity for diverse learners and a multitude of experts to come together to ask questions of one another and explore new solutions to the pressing concerns of our global community. Come, join the conversation!;education  circle time  Newspaper  family  hopefully  Comedy  closed community  constitution  Cancer  pride social-sciences governance-and-society;0
Service-Oriented Architecture;University of Alberta;Advanced;Based on an understanding of architectural styles, you will review architectures for web applications, then explore the basics of Service-Oriented Architecture (SOA) in two approaches: Web Services (WS*) and Representational State Transfer (REST) architecture.   In the Capstone Project you will connect a Java-based Android application with Elasticsearch, a web service with a REST application programmer interface (API).  After completing this course, you will be able to:  ï¿½ Describe SOA (Service-Oriented Architecture) to structure web-based systems. ï¿½ Explain WS* services (i.e., SOAP over HTTP, WSDL, UDDI, BPEL).\t ï¿½ Apply REST architecture (i.e., JSON over HTTP, URI).\t ï¿½ Identify REST design principles.\t ï¿½ Create a system using REST interfaces.\t ï¿½ Apply microservice architecture.;architecture  Software Architecture  application programming interfaces  software  web service  representational state transfer  web  microservices  soap (protocol)  service-oriented architecture computer-science software-development;1
Statistical Molecular Thermodynamics;University of Minnesota;Beginner;This introductory physical chemistry course examines the connections between molecular properties and the behavior of macroscopic chemical systems.;statistical mechanics  General Statistics  quantum mechanics  tailored access operations  chemistry  measurement  molecular dynamics  energy  c dynamic memory allocation  energy level physical-science-and-engineering chemistry;0
Creating a Student Profile in Google Docs;Coursera Project Network;Beginner;By the end of this project, you will have created a Student Profile in Google Docs that will allow you identify student needs and differentiate instruction. We will work together to learn how to use Google Docs as we create a Student Profile template and complete it for a particular student you have in mind. You will be provided with additional resources that will help improve your teaching practice through identification of students needs and ensuring that the appropriate accommodations are put in place to support their academic growth.  Teaching is constantly changing. More than ever, it is essential that all teachers have a thorough understanding of the different needs present in their classroom. Once each student is more deeply understood, learning plans can be created to ensure that their school year is successful. This project will further equip you to meet the needs of your students.   *You will need a free Google account for this project.;physics  parent  resource  differentiated instruction  project  logic gate  teaching  forgetting  social work  Planning social-sciences education;0
Evidence-based Toxicology;Johns Hopkins University;Intermediate;Welcome to the Evidence-based Toxicology (EBT) course. In medicine and healthcare, evidence-based medicine has revolutionized the way that information is evaluated transparently and objectively. Over the past ten years, a movement in North America and Europe has attempted to translate this revolution to the field of toxicology. The Center for Alternatives to Animal Testing (CAAT) within the department of Environmental Health and Engineering at the Johns Hopkins Bloomberg School of Public Health hosts the first chair for EBT and the secretariat for the EBT Collaboration on both sides of the Atlantic. Based on the Cochrane Collaboration in Evidence-based Medicine, the EBT Collaboration was established at the CAAT to foster the development of a process for quality assurance of new toxicity tests for the assessment of safety in humans and the environment. Regulatory safety sciences have undergone remarkably little change in the past fifty years. At the same time, our knowledge in the life sciences is doubling about every seven years. Systematic review and related evidence-based approaches are beginning to be adapted by regulatory agencies like the Environment Protection Agency (EPA), the European Food Safety Authority (EFSA), and the US National Toxicology Program. They provide transparent, objective, and consistent tools to identify, select, appraise, and extract evidence across studies.  This course will showcase these emerging efforts and address opportunities and challenges to the expanded use of these tools within toxicology.;General Statistics  evidence-based toxicology  p-value  external validity  Meta-Analysis  toxicity  observational error  cell culture  systematics  quality control life-sciences basic-science;2
Cyber Threat Intelligence;IBM;Advanced;This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program.   You will understand network defensive tactics, define network access control and use network monitoring tools. You will understand data protection risks and explore mobile endpoint protection. Finally you will recognize various scanning technologies, application security vulnerabilities and threat intelligence platforms.  This course also gives you hands on access to cybersecurity tools important to a system analyst.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the sixth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Cyber Threat Intelligence IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/cyber-threat-intelligence.  In this course, you will learn to:  ï¿½\tDescribe examples of network defensive tactics. ï¿½\tDiscuss data loss prevention and endpoint protection concepts and tools.  ï¿½\tExplore a data loss prevention tool and learn how to classify data in your database environment.  ï¿½\tDescribe security vulnerability scanning technologies and tools. ï¿½\tRecognize application security threats and common vulnerabilities. ï¿½\tIdentify the key concepts around threat intelligence. ï¿½\tExplore a SIEM product and review suspicious alerts and how to take action.;Software Security  Scanning  penetration test  security  cross-site scripting  posture  Network Security  security information and event management  packet analyzer  threat information-technology security;1
Strengthening Your Widening Network;National University of Singapore;Advanced;In this course, you will learn strategies not only on how to communicate effectively but also how to strengthen your relationships with co-workers and other stakeholders from diverse cultural backgrounds, both inside and beyond the organisation. In particular, Strengthening your widening network aims to equip you with a workplace discourse that facilitates familiarity with practices in the working environment and to help you appreciate the complexities inherent in the organisational structure and hierarchy.   You will learn to write effective emails demonstrating a keen awareness of your audience and the 7 communication principles. In addition, you will learn to voice your views and assert your position at various communication contexts such as formal meetings and work-related discussions.     By the end of the course, you should demonstrate a greater communicative and linguistic competence, with a better grasp of interpersonal and intercultural communication in a globalised workplace.;credibility  organizational chart  interpersonal relationships  cross-cultural communication  grasp  interpersonal communication  email writing  Communication  email  intercultural communication personal-development personal-development;1
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences;The University of Edinburgh;Beginner;What is the origin of our universe? What are dark matter and dark energy?  This is the first part of the course 'Philosophy and the Sciences', dedicated to Philosophy of the Physical Sciences. Scientific research across the physical sciences has raised pressing questions for philosophers. The goal of this course is to introduce you to some of the main areas and topics at the key juncture between philosophy and the physical sciences. Each week we will introduce you to some of these important questions at the forefront of scientific research.   We will explain the science behind each topic in a simple, non-technical way, while also addressing the philosophical and conceptual questions arising from it.  Weï¿½ll consider questions about the origin and evolution of our universe, the nature of dark energy and dark matter and the role of anthropic reasoning in the explanation of our universe.  Learning Objectives  Gain a fairly well-rounded view on selected areas and topics at the intersection of philosophy and the sciences  Understand some key questions, and conceptual problems arising in the natural sciences.  Develop critical skills to evaluate and assess these problems.  Suggested Reading  To accompany 'Philosophy and the Sciences', we are pleased to announce a tie-in book from Routledge entitled 'Philosophy and the Sciences for Everyone'. This course companion to the 'Philosophy and the Sciences' course was written by the Edinburgh Philosophy and the Sciences team expressly with the needs of MOOC students in mind. 'Philosophy and the Sciences for Everyone' contains clear and user-friendly chapters, chapter summaries, glossary, study questions, suggestions for further reading and guides to online resources.  Please note, this companion book is optional - all the resources needed to complete the course are available freely and listed on the course site.;political science  parapsychology  physics  observational astronomy  verse protocol  energy  philosophy of mind  astronomy  scientific method  philosophy arts-and-humanities philosophy;0
Making Sense of the News: News Literacy Lessons for Digital Citizens;The State University of New York;Intermediate;Never before has the need for News Literacy been more urgent. As news consumers are bombarded with a constant stream of fake news, propaganda, hoaxes, rumors, satire, and advertising ï¿½ that often masquerade as credible journalism ï¿½ it is becoming more and more difficult to distinguish fact from fiction. While the publicï¿½s faith in the news media erodes, purveyors of misinformation have helped give rise to troubling cultural trends and alarming political movements.  This six-week course will help learners develop their critical thinking skills to enable them to better identify reliable information in news reports and to become better informed about the world in which we live. The course will discuss the key elements of journalism from the viewpoint of the news audience.  The language of instruction is English, but Chinese and Spanish subtitles will be available. Each week will tackle a challenge unique to the digital era:  Week 1: The power of information is now in the hands of consumers. Week 2: What makes journalism different from other types of information? Week 3: Where can we find trustworthy information? Week 4: How to tell whatï¿½s fair and whatï¿½s biased. Week 5: How to apply news literacy concepts in real life. Week 6: Meeting the challenges of digital citizenship.;faith  power politics  network news transfer protocol  gratitude  value of information  thought  news  media literacy  Average  Journalism social-sciences education;2
International Entertainment and Sports Marketing;Yonsei University;Intermediate;This course will provide learners with a fundamental understanding of the characteristics and marketing strategies related to two key global industries, sports and entertainment. The growth in both industries have been fueled by their ability to innovate via CCCI, i.e. cross-country and cross-industry expansion. There will be a graded quiz that will consists of 10 questions during the first two weeks (together worth 50% of the grade)  and a final quiz that contains 20 questions (worth 50% of the grade) in the third week.   People who successfully complete this course will obtain the following outcomes:  (1) You will learn the key characteristics of sports marketing. (2) You will learn the key characteristics of entertainment marketing. (3) You will be able to apply cross country growth strategies to your business in the sports and entertainment industry.  (4) You will be able to apply cross industry growth strategies to your business in the sports and entertainment industryï¿½.  (5) You will be able to reference CCCI, i.e. cross-country and cross-industry Innovation best practices via interviews with key experts in the sports and entertainment industry such as from adidas, Audi, and YG Entertainment (home to Psy and Gangnam Style).;sports  interview  Strategy  market (economics)  c-ross  business marketing  global marketing  Innovation  Marketing  viral marketing business marketing;2
Fundamentals of Machine Learning in Finance;New York University;Advanced;The course aims at helping students to be able to solve practical ML-amenable problems that they may encounter in real life that include: (1) understanding where the problem one faces lands on a general landscape of available ML methods, (2) understanding which particular ML approach(es) would be most appropriate for resolving the problem, and (3) ability to successfully implement a solution, and assess its performance.   A learner with some or no previous knowledge of Machine Learning (ML)  will get to know main algorithms of Supervised and Unsupervised Learning, and Reinforcement Learning, and will be able to use ML open source Python packages to design, test, and implement ML algorithms in Finance. Fundamentals of Machine Learning in Finance will provide more at-depth view of supervised, unsupervised, and reinforcement learning, and end up in a project on using unsupervised learning for implementing a simple portfolio trading strategy.  The course is designed for three categories of students: Practitioners working at financial institutions such as banks, asset management firms or hedge funds Individuals interested in applications of ML for personal day trading Current full-time students pursuing a degree in Finance, Statistics, Computer Science, Mathematics, Physics, Engineering or other related disciplines who want to learn about practical applications of ML in Finance    Experience with Python (including numpy, pandas, and IPython/Jupyter notebooks), linear algebra, basic probability theory and basic calculus is necessary to complete assignments in this course.;mathematical finance  optimal control  Machine Learning  Reinforcement Learning  Estimation  Risk  t-Distributed Stochastic Neighbor Embedding  latent variable  stock  Finance data-science machine-learning;1
Evolution: A Course for Educators;American Museum of Natural History;Beginner;How are all of the species living on Earth today related? How does understanding evolutionary science contribute to our well-being? In this course, participants will learn about evolutionary relationships, population genetics, and natural and artificial selection. Participants will explore evolutionary science and learn how to integrate it into their classrooms.;species  phylogenetic tree  evolutionary biology  biological evolution  paleontology  natural selection  biology  evolution  adaptation  doubt life-sciences basic-science;0
The Music of the Beatles;University of Rochester;Beginner;The Music of the Beatles will track the musical development of the band, starting from the earliest days in Liverpool and Hamburg, moving through the excitement of Beatlemania, the rush of psychedelia, and the maturity of Abbey Road. While the focus will be on the music, we will also consider how recording techniques, the music business, the music of other artists, and the culture of the 1960s affected John, Paul, George, and Ringo as they created the Beatles repertory.  There is probably no band or artist that has had more written about their music than the Beatles. There are many good books on the band's biography, several insider accounts offering glimpses behind the scenes, books that interpret the meaning of the songs, and even books that catalog dates and people regarding the band. This course will try to synthesize much of that information into an account of the Beatles' development as musicians and songwriters.;history of rock  film  packaging  guitar  rockbox  Art History  music  relative change and difference  history  acoustics arts-and-humanities music-and-art;0
Motivational Enhancement Techniques: Working with Patients with Opioid & Substance Use Disorders or High Risk Use MAT Waiver Training Supplemental Course;University of Virginia;Intermediate;WORKING WITH PATIENTS WITH SUBSTANCE USE DISORDERS OR HIGH RISK This optional online course opportunity is made possible through a joint partnership with University of Virginia School of Medicine (UVASOM) and Nursing (SON) and the American Academy of Addiction Psychiatry (AAAP), DATA 2000 sponsor. This content was created by the AAAP and has been used with permission. The course consists of one 1-hour session for healthcare providers who wish to enhance their effectiveness in treating high-risk patients or those with Substance Use Disorder. Motivational Interviewing has been quite effective in not only treating these clients but many other clients with other chronic illnesses as well. This webinar will discuss Motivational Enhancement Techniques to assist clinicians in treating patients with opioid substance use disorders. The session includes a pre and post self-assessment and one recorded audio session. After completing all components, learners will be directed to complete an evaluation to receive credit.  Estimated time to complete this activity: 1.0 hours  Release date: March 1, 2020 UVA Grant Dates: 09/30/2019 ï¿½ 09/29/2022 Funding for this initiative was made possible by a grant from SAMHSA. The views expressed in written conference materials or publications and by speakers and moderators do not necessarily reflect the official policies of the Department of Health and Human Services? nor does mention of trade names, commercial practices, or organizations imply endorsement by the U.S. Government.;recreational therapy  patient  addiction  psychotherapy  empathy  psychiatry  substance use disorder  Risk  therapy  motivational interviewing life-sciences patient-care;2
Introduction to Probability and Data with R;Duke University;Advanced;This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. You will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. A variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the Specialization.;Probability & Statistics  Data Analysis  General Statistics  rstudio  analysis  R Programming  Computer Programming  Exploratory Data Analysis  probability  Summary Statistics data-science data-analysis;1
Japanese for beginners 1;Saint Petersburg State University;Beginner;Japanese language has become extremely popular among learners in recent years, since it is the best way to explore one of the richest and most mysterious cultures of the modern East. This course is  aimed at those who are interested in understanding Japanese way of thinking and view of the world through learning the language. Course materials are provided by the teaching staff from the Department of Japan Studies. Upon completion of this course the learners will be able:  1. To read simple texts in Japanese and write using the hiragana and katakana scripts as well as the kanji characters. 2. To understand basic vocabulary in speech and use it in everyday communicative situations. 3. To form their own sentences using the provided grammar material. The course provides extensive materials on Japanese grammar, phonetics, writing system and communication etiquette, as well as exercises for learners to apply the new knowledge. The vocabulary of the course consists of more than 200 words.  Those who are interested in continuing their learning of Japanese language can proceed to the second part of this course - Japanese for beginners 2.;english language  language  materials  phonetics  Language Learning  japanese language  adjective  korean language  euler's totient function  grammar language-learning other-languages;0
Russian company law. Formation of legal entities.;Moscow State Institute of International Relations (MGIMO) / ????? (?????????? ??????????????? ???????? ????????????? ????????? ??? ??????);Intermediate;The present course gives an overview of Bases of  Russian company law. Formation of legal entitites. The course is directed to students of general educational institutions, Russian and foreign lawyers, heads of legal entities, financial directors, chief accountants, auditors, practicing in English, and to any person, interested in the Russian Company Law.;law  partnership  Finance  Corporate Law  personality  Audit  Administration Management  international relations  Russian  Leadership and Management business leadership-and-management;2
Getting Started with Essay Writing;University of California, Irvine;Intermediate;Course 2: Getting Started with Essay Writing  This is the second course in the Academic English: Writing specialization.  By introducing you to three types of academic essays, this course will especially help prepare you for work in college classes, but anyone who wants to improve his or her writing skills can benefit from this course.  After completing this course, you will be able to:  - create effective thesis statements for your essays  - plan and write compare/contrast, cause/effect, and argument essays  - write well-developed body paragraphs  Note: The lectures and practice activities are available for free, but you must upgrade to the pay version in order to take the quizzes and get feedback on writing assignments.;essay writing  language  Planning  english grammar  grammar  english language  academic writing  SPSS  Writing  creative writing arts-and-humanities music-and-art;2
The Modern and the Postmodern (Part 1);Wesleyan University;Intermediate;This course examines how the idea of the modern develops at the end of the 18th century in European philosophy and literature, and how being modern (or progressive, or hip) became one of the crucial criteria for understanding and evaluating cultural change. Are we still in modernity, or have we moved beyond the modern to the postmodern?;Poetry Writing  philosophy  intellectual  literary theory  Writing  history  Art History  history of ideas  art  Critical Thinking arts-and-humanities philosophy;2
Build NLP pipelines using scikit-learn;Coursera Project Network;Advanced;In this 2-hour long project-based course, you will understand the business problem and the dataset and learn how to generate a hypothesis to create new features based on existing data. You will learn to perform text pre-processing and creating custom transformers to generate new features in to pass into the machine learning pipeline. And you will implement NLP pipeline creating your own custom transformers and build a text classification model.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Data Analysis  Machine Learning  Natural Language Processing  project  modeling  Scikit-Learn  Exploratory Data Analysis  Model Building  Estimator  statistical classification data-science machine-learning;1
Starting GUI Programming with JavaFX;Coursera Project Network;Beginner;In this 2-hour long guided project, we will learn the basics of creating GUI Applications with JavaFX. We will do this by creating a simple user interface designed with Scene Builder and FXML. The GUI Application itself will be powered by the JavaFX framework. While JavaFX has a fairly large number of components that offer a lot of functionality, we will focus on creating something simple to familiarize ourselves with the framework and some of its core functionality.  To be able to complete this project successfully, you should be familiar with the Java programming language.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Python Programming  recursively enumerable set  numbers (spreadsheet)  Computer Programming  user interface design  Software Engineering  language  drag and drop  javafx  pointing device gesture computer-science software-development;0
Analysis of Variance with ANOVA in Google Sheets;Coursera Project Network;Beginner;In every domain it is critical to decision making to understand whether differences exist between two or more groups of things or outcomes. In this course you will test for differences with the One-Way ANOVA analysis of variance technique. You will also learn how to design the test and apply tactics so that you are able to confidently report statistical significance between and within groups if it exists. For this course, we will work side-by-side in the free-to-use software Google Sheets.  By the end of this course, you will be able to apply ANOVA and post hoc tests using any spreadsheet software and you will be able to confidently report levels of statistical significance in groups.   Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;software  relative change and difference  General Statistics  Box Plot  post hoc analysis  Autoregressive Integrated Moving Average  verification and validation  Null Hypothesis  analysis of variance  Statistical Significance data-science data-analysis;0
International B2B (Business to Business) Marketing;Yonsei University;Intermediate;This course offers a unique perspective into the differentiating aspects of business to business (B2B) marketing that can be contrasted to traditional business to consumer (B2C) marketing that is the subject of most other marketing curricula. Moreover, as one of the courses in the Specialization: International Marketing & Cross Industry Growth, here too there is an emphasis on how companies can expand by cross-country and cross-industry innovation.    By taking this course learners will obtain the following outcomes:  (1) understand the differences between B2C and B2B marketing. (2) approach marketing problems from an inter-organizational perspective, in particular, learn about decision making at buying centers. (3) innovate B2B marketing via a CCCI, i.e. Cross Country & Cross Industry Innovation approach. (4) gain insights about CCCI Innovation and best practices via interviews with top B2B industry experts.;B2B Marketing  Innovation  Marketing  global marketing  analysis  business marketing  Studentized Residual  b2b e-commerce  B2B Sales  market (economics) business marketing;2
The fundamentals of hotel distribution;ESSEC Business School;Intermediate;In todayï¿½s hotel sector an increasingly complex network of traditional and web based channels have to be managed to insure hotel success. Key questions include: how should you distribute over the web? What should you include on your brand.com website so people book through it?  How can you maximise the potential of online travel agents (OTAs)?  With the distribution environment both highly complex and constantly evolving, this course will give you comprehensive foundation of current industry practices to help jump start your career in this fascinating domain.  Acknowledgements: Claire Bertrand, Vincent Chatain, Jessica Moses, Benjamin Six (ESSEC Business School), Emilie Duprï¿½ (Image-In), Gregory Halidy (Triplay);Hotel Management  revenue management  distribution (business)  Leadership and Management  Studentized Residual  Chi-Squared Distribution  hospitality management  revenue  Marketing  hotel business business-strategy;2
The Emergence of the Modern Middle East - Part I;Tel Aviv University;Beginner;This course will review the emergence of the modern Middle East from the fall of the Ottoman Empire, at the end of the First World War to the present. We will discuss the Ottoman legacy in the region and the Western imperial impact on the creation of the Arab state system. The course will review the rise and retreat of Arab nationalism, the problems of internal cohesion of the Arab states, issues of religion and state, and the evolution of Islamist politics. We will also focus on the evolution of the Arab-Israeli conflict and its impact on the region and will conclude with an in depth analysis of the ï¿½Arab Springï¿½ by placing these contemporary revolutionary events in their historical context.  Please note that there is a second part to this course which is a direct extension of this part. We highly recommend to continue to the second part after you finish this one (https://www.coursera.org/learn/modern-middle-east-2/home/info).;Art History  analysis  process  international relations  u.s. securities and exchange commission  speech  history  cultural impact  i-deas  middle east arts-and-humanities history;0
Introduction to Data Analytics;IBM;Advanced;This course presents a gentle introduction into the concepts of data analysis, the role of a Data Analyst, and the tools that are used to perform daily functions. You will gain an understanding of the data ecosystem and the fundamentals of data analysis, such as data gathering or data mining.  You will then learn the soft skills that are required to effectively communicate your data to stakeholders, and how mastering these skills can give you the option to become a data driven decision maker.       This course will help you to differentiate between the roles of a Data Analyst, Data Scientist, and Data Engineer. You will learn the responsibilities of a Data Analyst and exactly what data analysis entails. You will be able to summarize the data ecosystem, such as databases and data warehouses. You will then uncover the major vendors within the data ecosystem and explore the various tools on-premise and in the cloud. Continue this exciting journey and discover Big Data platforms such as Hadoop, Hive, and Spark. By the end of this course you will be able to visualize the daily life of a Data Analyst, understand the different career paths that are available for data analytics, and identify the many resources available for mastering this profession.       Throughout this course you will learn the key aspects to data analysis. You will begin to explore the fundamentals of gathering data, and learning how to identify your data sources. You will then learn how to clean, analyze, and share your data with the use of visualizations and dashboard tools. This all comes together in the final project where it will test your knowledge of the course material, explore what it means to be a Data Analyst, and provide a real-world scenario of data analysis.        This course does not require any prior data analysis, spreadsheet, or computer science experience. All you need to get started is basic computer literacy, high school level math, and access to a modern web browser such as Chrome or Firefox.;analytics  Data Analysis  physics  Exploratory Data Analysis  business analytics  Python Programming  quality control  Data Science  SQL  Business Analysis data-science data-analysis;1
Machine Learning with H2O Flow;Coursera Project Network;Beginner;This is a hands-on, guided introduction to using H2O Flow for machine learning. By the end of this project, you will be able to train and evaluate machine learning models with H2O Flow and AutoML, without writing a single line of code! You will use the point and click, web-based interface to H2O called Flow to solve a business analytics problem with machine learning.  H2O is a leading open-source machine learning and artificial intelligence platform trusted by data scientists and machine learning practitioners. It has APIs available in R, Python, Scala, and also a web-based point and click interface called Flow. H2O's AutoML automates the process of training and tuning a large selection of models, allowing the user to focus on other aspects of the data science and machine learning pipelines such as data pre-processing, feature engineering, and model deployment.  To get the most out of this project, we recommend that you have an understanding of basic machine learning theory, and have trained machine learning models.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;point and click  flow network  business analytics  Training  modeling  Writing  analytics  Machine Learning  java annotation  interfaces data-science machine-learning;0
Introduction to Topic Modeling for Business;Coursera Project Network;Beginner;In this 2-hour long project-based course, you will learn how to create topic models from a given corpus, relevant to gain business insights. Topic modeling can be applied to business reports, trending topics on social media platforms, or even reviews in e-commerce websites to extract latent themes associated with it. For illustration purposes, the custom dataset to be used in this project is built on articles concerned with Digital Economy. Assume, that an entity is interested to understand what does the term mean, and how the entity could be benefited from it.  The method to build a topic model will be divided into the following steps, beginning with data cleaning, visual exploratory analysis with WordCloud, preparation of corpus to build a topic model, and finally, represent the themes with an interactive visualization. This project will lightly cover the basic conceptual framework of topic modeling as a text mining tool (and where can it be used),  along with statistical measures to estimate the goodness of a topic model.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Topic Model  project  modeling  Machine Learning  analysis  conceptual framework  Data Analysis  Social Media Platforms  text mining  E-Commerce data-science machine-learning;0
