Difficulty_Level;Skills;University;category_id
Beginner;software security  powershell  microsoft azure  virtual machine  cloud computing  cloud applications  unix shells  cloud computing security  network security  software as a service informationtechnology cloudcomputing;LearnQuest;0
Intermediate;brain test  anatomy  philosophy  geometry  neuroscience  perception  photography  color vision  plant biology  color psychology lifesciences basicscience;Duke University;2
Beginner;computer programming  c dynamic memory allocation  garbage collection computer science  file shortcut  ordered pair  method computer programming  compiler  mobile app  memory leak  software features computerscience softwaredevelopment;Coursera Project Network;0
Advanced;site reliability engineering  datainformed decisionmaking  receiving  change management  culture  continuous integration  kubernetes  continuous delivery  design thinking  devops business leadershipandmanagement;Google Cloud;1
Intermediate;caffeine and nicotine alter sleep and wakefulness the second section of the course covers sleepdependent changes in physiology and sleep disorders medicine particular emphasis will be placed on disorders of excessive sleepiness insomnia and sleepdependent changes in autonomic control chronic sleep deprivation impairs immune function and may promote obesity deaths due to all causes are most frequent between 400 and 600 am and this second section of the class highlights the relevance of sleep for preventive medicine the societal relevance of sleep will be considered in the final section of the class in an increasingly complex and technologically oriented society operatorerror by one individual can have a disastrous negative impact on public health and safety  fatiguerelated performance decrements are known to have contributed as causal factors to nuclear power plant failures transportation disasters and medical errors;University of Michigan;2
Beginner;performance  language classification  bayes classifier  substring  language  python programming  test set  machine learning  naive bayes classifier  statistical classification datascience machinelearning;Coursera Project Network;0
Intermediate;testdriven development  software  hypothesis  agile software development  software engineering  scrum software development  agile testing  leadership and management  design sprint  continuous delivery computerscience designandproduct;University of Virginia;2
Beginner;memory address  c++  universal windows platform apps  smart pointer  c programming  standard library  debuggers  memory management  supercomputer  memory computerscience softwaredevelopment;Coursera Project Network;0
Advanced;audit  predictive modelling  algorithmics  modeling  ethics  game theory  measurement  machine learning  accuracy and precision  bias computerscience algorithms;LearnQuest;1
Advanced;principal component analysis  gene  analysis  biology  network analysis  computational model  hierarchical clustering  molecular biology  data clustering algorithms  systems biology lifesciences basicscience;Icahn School of Medicine at Mount Sinai;1
Advanced;statistical tests  pvalue  data analysis  general statistics  correlation and dependence  square algebra  analysis of variance  python programming  analysis  statistical hypothesis testing datascience dataanalysis;Wesleyan University;1
Advanced;aerospace engineering  space station  nastran  spacecraft communication  human factors and ergonomics  automatic identification and data capture  manufacturing process management  digitizing  robotics projects  industrial engineering industry expertise physicalscienceandengineering mechanicalengineering;Technische Universität München (TUM);1
Advanced;risk management  capital market  leadership and management  financial engineering  value at risk  efficient frontier  real options  finance  derivative  risk business finance;Columbia University;1
Advanced;linear programming  local consistency  algorithms  cuttingplane method  simplex algorithm  simulated annealing  discrete optimization  mathematical optimization  constraint programming  solver computerscience softwaredevelopment;The University of Melbourne;1
Beginner;language learning  python programming  experiment  natural language processing  lemmatisation  entry point  machine learning  use case  oring theory of economic development  parsing datascience machinelearning;Coursera Project Network;0
Advanced;computational biology  stochastic calculus  modeling  stochastic models  bioinformatics  matlab  systems biology  computational model  biology  stochastic modelling insurance lifesciences healthinformatics;Icahn School of Medicine at Mount Sinai;1
Advanced;java annotation  writing  tostan  ordered pair  validated learning  prince2  project  teaching method  work project management  hole computerscience softwaredevelopment;Coursera Project Network;1
Beginner;reason  evolution  belief  mythology  religion  thought  logic  irreducible complexity  greek mythology  philosophy artsandhumanities philosophy;The University of Edinburgh;0
Beginner;factorial  sbox  network science  analysis  social network analysis  databases  social network  computational social science  mathematics  network analysis datascience dataanalysis;"""University of California, Davis""";0
Intermediate; including people who may wish to join education as a profession practicing teachers interested in exploring future directions for a vocation that is currently undergoing transformation and community and workplace leaders who regard their mission to be in part educative   related resources   this course is based on the following book  httpswwwamazoncomlearningecologiesbillcopedp1138193720  additional online resources are available here  httpsnewlearningonlinecomelearning   take this course for credit at the university of illinois   this course has the same content and anticipates the same level of contribution by students in the elearning ecologies course offered to graduate certificate masters and doctoral level students in the learning design and leadership program in the college of education at the university of illinois  of course in the nature of moocs many people will just want to view the videos and casually join some of the discussions some people say that these limited kinds of participation offer evidence that moocs suffer from low retention rates far from it ï½ we say that any level of engagement is good engagement  on the other hand if you would like to take this course for credit at the university of illinois you will find more information about our program here  httpsnewlearningonlinecomkalantzisandcopelearningdesignandleadershipprogram  and you can apply here  httpseducationillinoiseduepolprogramsdegreesldl   the learning design and leadership series of moocs   this course is one of a series of eight moocs created by bill cope and mary kalantzis for the learning design and leadership program at the university of illinois if you find this mooc helpful please join us in others  elearning ecologies innovative approaches to teaching and learning for the digital age httpswwwcourseraorglearnelearning  new learning principles and patterns of pedagogy httpswwwcourseraorglearnnewlearning  assessment for learning httpswwwcourseraorglearnassessmentforlearning  learning knowledge and human development  httpswwwcourseraorglearnlearningknowledgehumandevelopment  ubiquitous learning and instructional technologies httpswwwcourseraorglearnubiquitouslearning  negotiating learner differences towards productive diversity in learning httpswwwcourseraorglearnlearnerdifferences  literacy teaching and learning aims approaches and pedagogies httpswwwcourseraorglearnliteracyteachinglearning  multimodal literacies communication and learning in the era of digital media httpswwwcourseraorglearnmultimodalliteracies;University of Illinois at Urbana-Champaign;2
Advanced;voice analysis  public speaking  logo  speech  audience  imitation  language  thought  persuasion  speech writing personaldevelopment personaldevelopment;University of Washington;1
Intermediate;data breaches  defense  breach security exploit  security management  threat  intrusion detection systems  ossec  ordered pair  security  computer security incident management informationtechnology security;University of Colorado System;2
Intermediate;stock market  microeconomics  economics  market economics  behavioral economics  perfect competition  supply and demand  supply chain  demand  game theory socialsciences economics;"""University of California, Irvine""";2
Beginner;linearity  linear model  modeling  regression analysis  generalized linear model  analysis  linear regression  general statistics  model selection  regression datascience probabilityandstatistics;Johns Hopkins University;0
Advanced;logical topology  data furnace  master data management  machine learning  topological data analysis  data centers  enterprise architecture  topology  topology optimization  data architecture informationtechnology datamanagement;IBM;1
Beginner;nutrition  human learning  disease  diets  exercise  body mass index  diabetes  prevention  gastric bypass surgery  obesity lifesciences nutrition;University of Copenhagen;0
Advanced;modulo operation  null coalescing operator  database normalization  generator matrix  computation tree logic  logic  transition system  markov chain  modeling  model checkers computerscience softwaredevelopment;EIT Digital;1
Intermediate;angular  electrical engineering  electrical work  aerospace engineering  calibration  pik loan  transportation engineering  translation  energy conservation  mechanical engineering physicalscienceandengineering mechanicalengineering;Georgia Institute of Technology;2
Beginner;leverage finance  chisquared distribution  studentized residual  project  stock  investment banking  finance  extract  net profit  financial markets business finance;Coursera Project Network;0
Beginner;chart  array data structure  project mine  project  statistical analysis  eulers totient function  machine learning  general statistics  data science  python programming datascience dataanalysis;Coursera Project Network;0
Intermediate;labor  writing  war  poetry writing  antisemitism  history  holocaust  experience  ideas  religion artsandhumanities history;"""University of California, Santa Cruz""";2
Advanced;unix  file system  unit testing  regular expression  unix shells  computer programming  bash unix shell  commandline interface  test automation  python programming informationtechnology supportandoperations;Google;1
Beginner;project  discrete mathematics  internet  display devices  logic gate  software engineering  determinism  pygame  mathematics  python programming computerscience softwaredevelopment;Coursera Project Network;0
Beginner;facial  computer vision  tensorflow  opencv  convolutional neural network  face recognition  artificial neural networks  keras  flask  facial expression datascience machinelearning;Coursera Project Network;0
Beginner;evaluation  properties  web design  test automation  web accessibility  running  english language  web  manual testing  project computerscience mobileandwebdevelopment;Coursera Project Network;0
Intermediate;plausibility structure  psychology  3d modeling  virtual reality headset  immersion virtual reality  haptic technology  computer animation  virtual reality  computer graphics  360degree video computerscience designandproduct;University of London;2
Beginner;project mine  series a round  artificial neural networks  tensorflow  materials  statistical classification  training  modeling  project  convolutional neural network datascience machinelearning;Coursera Project Network;0
Intermediate;inference  general statistics  monte carlo method  markov chain  modeling  bayesian  chaining  bayesian inference  markov chain monte carlo  bayesian statistics datascience probabilityandstatistics;"""University of California, Santa Cruz""";2
Beginner;training  dimensionality reduction  recommender systems  market economics  project  data clustering algorithms  market segmentation  machine learning  unsupervised learning  kmeans clustering datascience machinelearning;Coursera Project Network;0
Beginner;livestock  animal  veterinary  veterinary medicine  captivity  dieting  sports  animal science  medicine  evaluation socialsciences governanceandsociety;University of Colorado Boulder;0
Advanced;sample size determination  prognostics  external validity  predictive analytics  measurement  estimation  imputation statistics  relative change and difference  ordered pair  bias variance tradeoff datascience dataanalysis;Universiteit Leiden;1
Beginner;analysis  probability  statistical inference  inference  hypothesis  confidence  statistical hypothesis testing  confidence interval  hypothesis testing  general statistics datascience probabilityandstatistics;Johns Hopkins University;0
Advanced;missing data  survival analysis  analysis  r programming  proportional hazards model  regression analysis  general statistics  modeling  public health  logrank test lifesciences publichealth;Imperial College London;1
Beginner;nested sql  sql  web  eulers totient function  databases  select sql  writing  associative entity  relational database  sqlite informationtechnology datamanagement;Coursera Project Network;0
Advanced;capital budgeting  common stock  cash flow  preferred stock  finance  zerocoupon bond  stock market  coupon bond  stock  asset business finance;University of Illinois at Urbana-Champaign;1
Beginner;bubble sort  python programming  project networks  sorting  big data  recursion  project  ascendency  ordered pair  algorithmic trading computerscience algorithms;Coursera Project Network;0
Beginner;text corpus  data analysis  machine learning  text mining  documents  topic model  data mining  data clustering algorithms  python programming  project datascience machinelearning;Coursera Project Network;0
Beginner;mobile development  computer programming  project management  project  representational state transfer  java programming  java software platform  python programming  java syntax  variable computer science computerscience mobileandwebdevelopment;Coursera Project Network;0
Beginner;finance  portfolio finance  value at risk  project  risk  financial risk management  leadership and management  investment  risk management  financial risk business finance;Coursera Project Network;0
Advanced;stress  problem solving  failure cause  causality  analysis  materials  failure analysis  design analysis  mechanical design  failure physicalscienceandengineering mechanicalengineering;Georgia Institute of Technology;1
Beginner;artificial neural networks  activation function  machine learning  experiment  eulers totient function  tensorflow  open source  hyperparameter  mathematical optimization  python programming datascience machinelearning;Coursera Project Network;0
Advanced;encryption  biba model  publickey cryptography  cryptography  cryptanalysis  secure sockets layer ssl  security  rsa securid  skey  block cipher mode of operation computerscience computersecurityandnetworks;New York University;1
Advanced;process  mobile development  software  agile software development  value stream mapping  software development process  software testing  software engineering  scrum software development  lean software development computerscience softwaredevelopment;University of Minnesota;1
Intermediate; commercial kits that can tell you about your ancestry including prehuman from your dna or disease predispositions debates about the truth of evolution why animals behave the way they do and how people found genetic evidence for natural selection  this course provides the basic biology you need to understand all of these issues better tries to clarify some misconceptions and tries to prepare students for future more advanced coursework in biology and especially evolutionary genetics  no prior coursework is assumed;Duke University;2
Advanced;stress  mechanical engineering  clinical study design  cloning  simulation  materials  generative design  geometry  autodesk  generative model physicalscienceandengineering mechanicalengineering;Autodesk;1
Beginner;sources  computer programming  cloud computing  ipython  apache  ibm cloud  rstudio  programming tool  python programming  open source datascience dataanalysis;IBM;0
Advanced;map  data acquisition  geographic information system  choropleth map  arcgis  data dictionary  mapping  mergers  acquisitions  spatial databases  metadata physicalscienceandengineering environmentalscienceandsustainability;University of Toronto;1
Beginner;planning  solar systems  angular  process  eclipse  computer simulation  recursively enumerable set  modeling  average  energy physicalscienceandengineering physicsandastronomy;University of Colorado Boulder;0
Beginner;google apps script  project  planning  email  leadership  eulers totient function  dynamic html  project management  authorization  html business businessstrategy;Coursera Project Network;0
Beginner;black lives matter  poetry writing  journalism  dialogue  art history  educational entertainment  art  history  anthropology  film artsandhumanities musicandart;Duke University;0
Beginner;software  coreldraw  image editing  adobe illustrator  microsoft excel  quickbooks  desktop publishing  adobe creative suite  photography  adobe illustrator artwork computerscience designandproduct;The Hong Kong University of Science and Technology;0
Advanced;multifactor authentication  authentication  physical security  asset  cryptography  password  password managers  security  multisignature  cryptocurrency informationtechnology security;Association of International Certified Professional Accountants;1
Beginner;data mining  web scraping  augmented assignment  css  grasp  data science  html  internet  web  python programming computerscience softwaredevelopment;Coursera Project Network;0
Beginner;numpy  linearity  principal component analysis  linear algebra  projection matrix  python programming  matrices  analysis  computer programming  algebra datascience machinelearning;Imperial College London;0
Advanced;biology  biophysics  statistical mechanics  physics  classical mechanics  hemodynamics  hamiltonian quantum mechanics  astronomy  chemistry  interact physicalscienceandengineering mechanicalengineering;Carnegie Mellon University;1
Beginner;framebuffer  virtual reality  android development  interactivity  phong shading  mobile development  immersion virtual reality  recursively enumerable set  phong reflection model  3d computer graphics computerscience mobileandwebdevelopment;Imperial College London;0
Intermediate;investment  annual report  project plan  resource allocation  project  project planning  technology management  business technology management  leadership and management  communication planning business businessstrategy;Indian School of Business;2
Beginner;basic income  insurance policy  economy  digital signature  income  phenomenon  policy research  financial statement  baby bonus  negative income tax business finance;University of Michigan;0
Advanced;time management  estimation  schedule  leadership and management  project management  scope project management  cost  earned value management  project  scope statement business leadershipandmanagement;Rice University;1
Intermediate;regression  logistic regression  missing data  supply chain  chart  regression analysis  bayes rule  oversampling  predictive modelling  family datascience dataanalysis;SAS;2
Intermediate;bioinformatics  computer programming  julia programming language  language  fortran  compartmental models in epidemiology  numbers spreadsheet  arrays  array slicing  wellformed formula datascience dataanalysis;University of Cape Town;2
Advanced;ageing  how we decide  connected car  privacy  ethics  opinion  process  weighting  standards organization  voting business businessstrategy;EIT Digital;1
Advanced;distributed computing  file system  wireless sensor network  sensor network  deadlock  elections  cloud computing  clustered file system  mutual exclusion  distributed file systems computerscience algorithms;University of Illinois at Urbana-Champaign;1
Advanced;credibility  organizational chart  interpersonal relationships  crosscultural communication  grasp  interpersonal communication  email writing  communication  email  intercultural communication personaldevelopment personaldevelopment;National University of Singapore;1
Intermediate;vaccines  epidemics  health system  public health  ebola  quarantine  epidemic  disease  vaccine  patient lifesciences publichealth;Emory University;2
Beginner;chord  performance  sound  electronic music  gnu octave  ordered pair  music  piano  electronics  ableton artsandhumanities musicandart;Berklee College of Music;0
Advanced;strategy  canned response  show me  interview  career  technology strategy  experience  english language  speech  selfassessment languagelearning learningenglish;"""University of Maryland, College Park""";1
Beginner;analysis  pytorch  segmentation analysis  google analytics  market segmentation  benefits  project mine  analytics  film  project datascience dataanalysis;Coursera Project Network;0
Intermediate;studentized residual  normal distribution  general statistics  probability  statistics  bayes theorem  probability  conditional probability  bayesian  probability theory  probability distribution datascience probabilityandstatistics;University of Zurich;2
Beginner;map  geovisualization  data science  pytorch  project  eulers totient function  project mine  python programming  geostatistics  php datascience dataanalysis;Coursera Project Network;0
Beginner;linearity  gradient descent  multivariable calculus  regression  lambda calculus  gradient  linear regression  calculus  mathematical optimization  explicit substitution mathandlogic mathandlogic;Imperial College London;0
Advanced;texture synthesis  geometric modeling  dynamical simulation  interactivity  robotics  human computer interaction  key frame  sketchbased modeling  computer animation  computer graphics computerscience softwaredevelopment;The University of Tokyo;1
Advanced;fixed asset  accounting analysis  finance  journaling file system  international financial reporting standards  accounting  income statement  financial statement  adjusting entries  accounts receivable business businessessentials;University of Illinois at Urbana-Champaign;1
Intermediate;leadership and management  linkedin  mentorship  personal advertisement  communication  career  leadership  career development  planning  career counseling personaldevelopment personaldevelopment;University System of Georgia;2
Advanced;syntax  computer programming  rowing  language  enabling  eulers totient function  concatenation  software bug  approximation error  restructuring datascience dataanalysis;SAS;1
Intermediate;ordered pair  structural analysis  angular  framing  bridge engineering  derivative  matrices  mechanical engineering  properties  solar systems physicalscienceandengineering mechanicalengineering;Georgia Institute of Technology;2
Intermediate;patient safety  process  project  planning  methodology  problem solving  design thinking  brainstorming  a3 problem solving  innovation lifesciences healthcaremanagement;Johns Hopkins University;2
Beginner;resource  economy  hard power  economics  global  the interpretation of cultures  identity crisis  aporia  power politics  religion socialsciences governanceandsociety;Sciences Po;0
Beginner;test case  manual testing  selenium  enable  english language  writing  system under test  project  reference implementation  bash unix shell computerscience softwaredevelopment;Coursera Project Network;0
Beginner;modeling  market economics  debugging  systems engineering  inband signaling  internet of things  smart highway  ideas  analysis  market segmentation computerscience designandproduct;University of Colorado Boulder;0
Advanced;quantitative easing  monetary policy  fiscal policy  government budget balance  tax revenue  money market  economics  government spending  economy  economic policy socialsciences governanceandsociety;IE Business School;1
Beginner;market economics  data analysis  process  analysis  consumer behaviour  marketing research  market research  market analysis  behavior  marketing business marketing;IE Business School;0
Beginner;image processing  artificial neural networks  computer programming  front and back ends  tensorflow  keras  canonical form  machine learning  convolutional neural network  python programming datascience machinelearning;Coursera Project Network;0
Intermediate;algorithms  machine learning algorithms  applied machine learning  test set  machine learning  ordered pair  training  human learning  deep learning  business requirements datascience machinelearning;Alberta Machine Intelligence Institute;2
Intermediate;piano  anguish  drama  anticipation  ascendency  chord  opus audio format  awe  continuations  music artsandhumanities history;Curtis Institute of Music;2
Intermediate;lambda calculus  discrete logarithm  algorithms  modular exponentiation  cryptography  eulers totient function  primality tests  trial division  multiplicative inverse  factorial computerscience computersecurityandnetworks;University of Colorado System;2
Intermediate;approximation  electronics  materials  energy level  linearity  generation  netting  energy  bias  electrical engineering physicalscienceandengineering electricalengineering;University of Colorado Boulder;2
Intermediate; you learn about performing kubernetes operations;Google Cloud;2
Advanced;project  planning  sales strategy  cause marketing  marketing  sales management  sales  leadership and management  strategic management  intelligence analysis business businessstrategy;Fundação Instituto de Administração;1
Beginner;interactivity  natural language  preview  accounting  cloud computing  english language  career  language  ibm cloud  project informationtechnology cloudcomputing;Coursera Project Network;0
Beginner;stress  autodesk  mechanical design  catia  computeraided design  analysis  simulation  shape optimization  mathematical optimization  mechanical engineering physicalscienceandengineering mechanicalengineering;Autodesk;0
Beginner;global  determinants  general statistics  risk  studentized residual  health data  risk factors  risk factor  chisquared distribution  disease lifesciences publichealth;Imperial College London;0
Advanced;internet  planning  ordered pair  ip camera  exit system call  billing  workstations  internet of things  materials  project physicalscienceandengineering electricalengineering;University of California San Diego;1
Advanced;product development  finitestate machine  snappy package manager  storyboarding  computer animation  sprite computer graphics  mathematical optimization  video game development  particle system  art computerscience designandproduct;Unity;1
Beginner;big data  natural language processing  sql  search engine optimization  corpus linguistics  machine learning  linguistics  computational linguistics  relative change and difference  language languagelearning learningenglish;Korea Advanced Institute of Science and Technology(KAIST);0
Beginner;kubernetes  microservices  docker software  subnetwork  commandline interface  nodejs  macro computer science  service discovery  virtual machine  operating systems informationtechnology cloudcomputing;Amazon Web Services;0
Beginner;physics  parent  resource  differentiated instruction  project  logic gate  teaching  forgetting  social work  planning socialsciences education;Coursera Project Network;0
Advanced;electronic circuit simulation  simulation  power electronics  mathematical optimization  electrical engineering  materials  electronics  oled  homework  scalable vector graphics physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Beginner;cost  pricing strategies  pricing  analysis  economics  strategy  price discrimination  price optimization  demand  price elasticity of demand business marketing;University of Virginia;0
Advanced;fintech  supply chain  blockchain  reason  working capital  chaining  early adopter  trade finance  leverage finance  finance business businessstrategy;New York Institute of Finance;1
Intermediate;algorithms  data analysis  numbers spreadsheet  evaluation  machine learning  regression  dependent and independent variables  human learning  regression analysis  decision tree datascience machinelearning;Wesleyan University;2
Beginner;management accounting  cost accounting  project  cost  leadership and management  business analytics  accounting  marketing  total absorption costing  financial accounting business finance;Coursera Project Network;0
Beginner;microsoft excel  planning  project  supply chain  hospital management  presentation  spreadsheet  business  data analysis  analysis business businessstrategy;Coursera Project Network;0
Advanced;machine learning  ideas  internality  speech  project  leadership  strategy  strategic management  reason  sales business leadershipandmanagement;EIT Digital;1
Advanced;null coalescing operator  mcrl2  process  parallel process  ternary conditional operator  transition system  bisimulation  system v  modulo operation  wait system call computerscience softwaredevelopment;EIT Digital;1
Advanced;information visualization  stack abstract data type  time series  map  line chart  chart  data visualization  kibana  d3js  analysis datascience dataanalysis;New York University;1
Advanced;motivation  collaboration  relative change and difference  climate change  ordered pair  wormseye view  global  experience  history  interact socialsciences governanceandsociety;University of Florida;1
Beginner;feedforward neural network  keras  front and back ends  mutual exclusion  tensorflow  perceptron  machine learning  deep learning  artificial neural networks  multilayer perceptron datascience machinelearning;Coursera Project Network;0
Advanced;computer programming  abstraction  ios development  event computing  program development  expectation maximization algorithm  ideas  lambda calculus  algorithms  resource socialsciences education;University of California San Diego;1
Advanced;communication  principle  visual communication  dialogue  negotiation  presentation  culture  language  audience  motivation personaldevelopment personaldevelopment;National University of Singapore;1
Beginner;water pollution  stormwater  urban planning  innovation  climate change  illustration  sustainability  biodiversity  circular economy  city planning physicalscienceandengineering environmentalscienceandsustainability;Lund University;0
Beginner;perception  experiment  neuromarketing  heart rate  anatomy  eye tracking  arousal  scanning  consumer behaviour  heart rate variability business marketing;Copenhagen Business School;0
Advanced;interactivity  strategy  budget  storytelling  web  interactive storytelling  accounting  project  inventory  online advertising business marketing;Coursera Project Network;1
Advanced;strategy  marketing  digital marketing  marketing plan  problem statement  verification and validation  online advertising  planning  analytics  marketing strategy business marketing;University of Illinois at Urbana-Champaign;1
Beginner;benefits  journalism  content creation  surround sound  contract a  streams  compensation  sports  market economics  communication business leadershipandmanagement;"""University of California, Irvine""";0
Beginner;arcgis  geology  gis software  qgis  geographic information system  map  remote sensing  general statistics  analysis  google earth engine physicalscienceandengineering environmentalscienceandsustainability;University of Toronto;0
Beginner;computer programming  project  experiment  reinforcement learning  reinforcement  python programming  algorithms  integral  supervision  machine learning datascience machinelearning;Coursera Project Network;0
Intermediate;it is our hope that much of the course content will still be of value to those in other parts of the world   to learn more about this course please watch the overview video by copying and pasting the following link into your web browser httpsgooglsxzezs  keywords nonprofit;The State University of New York;2
Intermediate;credentialing  attack model  exit system call  tracking  web server  credential  sphere of influence  network service  tor anonymity network  communication computerscience computersecurityandnetworks;University of Colorado System;2
Intermediate;affordance  language  interpretive discussion  inquiry  training  instructional design  relative change and difference  social presence theory  blend modes  teaching languagelearning learningenglish;University of Colorado Boulder;2
Intermediate;electron microscope  image quality  chemistry  relative change and difference  microscope  flow cytometry  measurement  energy level  physics  beam robotics physicalscienceandengineering researchmethods;National Research Nuclear University MEPhI;2
Intermediate;personality  personality development  personality tests  supervision  emotional intelligence  development of personality  leadership  personality test  coaching  leadership and management personaldevelopment personaldevelopment;University of Florida;2
Advanced;microsoft windows  google app engine  openfabrics alliance  cloud computing  microsoft visual studio  microsoft sql server  sql server  sql  cloud platforms  google cloud platform computerscience computersecurityandnetworks;Google Cloud;1
Advanced;network infrastructure  distributed computing  tcp congestion control  computer networking  routing  cloud computing  cloud infrastructure  python programming  network congestion  data centers computerscience computersecurityandnetworks;University of Illinois at Urbana-Champaign;1
Intermediate;epidemics  disease  vaccine development  outbreak  mosquito  infectious diseases  epidemic  infection  emerging infectious disease  public health lifesciences publichealth;Imperial College London;2
Beginner;deep learning  raspberry pi  android development  tensorflow  object detection  mathematical optimization  ios development  demos  mobile operating systems  microcontroller computerscience softwaredevelopment;DeepLearning.AI;0
Advanced;application programming interfaces  cipher  cryptography  symmetrickey algorithm  block cipher  block cipher mode of operation  quantum key distribution  key size  computer programming  digital signature computerscience computersecurityandnetworks;University of Colorado System;1
Beginner;supply chain strategy  supply chain  analysis  planning  push pull strategy  analytics  data analysis  strategy  supply chain analytics  chaining business businessessentials;Rutgers the State University of New Jersey;0
Advanced;organizational culture  leadership  organization design  organizational structure  management development  rational choice theory  leadership and management  culture  change management  decision making business leadershipandmanagement;University of Illinois at Urbana-Champaign;1
Beginner;document retrieval  documents  language  web crawler  recommender systems  rankings  information retrieval  language model  vector spaces  text mining datascience dataanalysis;University of Illinois at Urbana-Champaign;0
Beginner;climate change  global  project  oil  voting interest  geology  affair  entry point  biodiversity  system dynamics socialsciences governanceandsociety;École Polytechnique Fédérale de Lausanne;0
Intermediate;imagery intelligence  spacecraft communication  transportation analysis  aerospace engineering  unmanned vehicles  electronic signals intelligence  navigation equipment  unmanned aerial system  interplanetary internet  unmanned aerial vehicle physicalscienceandengineering mechanicalengineering;Technische Universität München (TUM);2
Beginner;owasp zap  uniform resource locator  penetration test  web application security  security  software security  owasp  internet security  web application  web computerscience computersecurityandnetworks;Coursera Project Network;0
Advanced;manufacturing process management  properties  materials  clinical study design  industrial engineering  generative design  mechanical engineering  rendering computer graphics  simulation  autodesk physicalscienceandengineering mechanicalengineering;Autodesk;1
Beginner;differential equations  partial derivative  matrices  laplace transform applied to differential equations  integral  ordinary differential equation  numerical analysis  eigenvalues and eigenvectors  partial differential equations  periodic function mathandlogic mathandlogic;The Hong Kong University of Science and Technology;0
Beginner;  is a consumer going to default on a loan or not will the company make a profit should we extend into a certain sector of the market  note this course works best for learners who are based in the north america region weï½re currently working on providing the same experience in other regions;Coursera Project Network;0
Beginner;internet protocol  microcontroller  internet  operating systems  internet of things  wireshark  communications protocol  embedded system design  arduino  systems design computerscience softwaredevelopment;"""University of California, Irvine""";0
Beginner;process  human learning  materials  solidworks  creativity  3d printing  product development  mechanical engineering  leadership  manufacturing process management business entrepreneurship;University of Illinois at Urbana-Champaign;0
Intermediate;communication in small groups  group work  leadership and management  decision making  team building  group development  negotiation  group decisionmaking  communication  group dynamics business leadershipandmanagement;University of Colorado Boulder;2
Advanced;actuators  electronics  torque  electromechanical systems  electrical engineering  battery management system  spec sharp  robotics  mechatronics  power drill physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Intermediate;chinese medicine  flavor  chinese language  dermatology  tongue  medicine  pulse  multiple sclerosis  physiology  common cold lifesciences publichealth;The Chinese University of Hong Kong;2
Beginner;drug design  clinical drug development  drugs  drug development  safety  drug safety  metabolism  drug discovery  pharmacokinetics  pharmacology lifesciences healthcaremanagement;University of California San Diego;0
Advanced;cost  accounting  fair value  inventory  accounting analysis  investment  asset  bad debt  account analysis  financial statement business businessessentials;University of Illinois at Urbana-Champaign;1
Intermediate;audio production  sound  guitar  electronic music  electronics  music  audio editing  microphone  sound design  ableton artsandhumanities musicandart;Berklee College of Music;2
Intermediate;portfolio optimization  financial markets  planning  time horizon  preference  investment  investment strategy  funds  finance  financial management business finance;Indian School of Business;2
Beginner;ordered pair  javascript framework  javascript  react web framework  css  web  rendering computer graphics  project  relative change and difference  sprite computer graphics computerscience softwaredevelopment;Coursera Project Network;0
Advanced;angular  mobile app  nodejs  web development  android development  javascript  mobile development  react web framework  web  application development computerscience mobileandwebdevelopment;The Hong Kong University of Science and Technology;1
Advanced;modeling  analysis  sensitivity index  topology  electronics  electrical engineering  switches  simulation  power electronics  electronic design physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Advanced;cyber resilience  digital signature  risk management framework  security  network security  publickey cryptography  web  web server  principle of least privilege  data breaches computerscience computersecurityandnetworks;University of Colorado System;1
Intermediate;decision aids  quality of life  motivational interviewing  digital health  decision making  shared decisionmaking  selfdetermination theory  population  patient  interact lifesciences psychology;Universiteit Leiden;2
Beginner;population  public health  pandemics  pandemic  vaccine  drug development  communication  contact tracing  phases of clinical research  disease outbreaks lifesciences publichealth;University of Houston;0
Beginner;scope project management  project planning  planning  leadership and management  project  project charter  conflict resolution  project plan  communication  project management business leadershipandmanagement;"""University of California, Irvine""";0
Advanced;django web framework  web  mysql  jquery  json  web application  php  html  javascript  document object model computerscience mobileandwebdevelopment;University of Michigan;1
Beginner;sources  computer programming  cloud computing  ipython  apache  ibm cloud  rstudio  programming tool  python programming  open source datascience dataanalysis;IBM;0
Beginner;hubspot  sales  customer relationship management  project  customer relationship management software  leadership and management  sap erp  marketing  customer service  accounting business leadershipandmanagement;Coursera Project Network;0
Beginner;crime  geographic information system  geovisualization  project  arcgis  sql  heat map  python programming  map  data analysis datascience dataanalysis;Coursera Project Network;0
Beginner;documents  tutor  online learning  machine learning  project mine  scaled agile framework  c dynamic memory allocation  parenting  communication  parent socialsciences education;Coursera Project Network;0
Intermediate;process  qualitative research  codebase  analysis  qualitative data analysis  market segmentation  quotation  data analysis  thematic analysis  qualitative analysis lifesciences healthinformatics;Emory University;2
Intermediate;information exchange  data visualization  telehealth  healthcare quality  evidencebased practice  electronic human resources  electronic health record  interoperability  informatics  electronic health records datascience dataanalysis;University of Minnesota;2
